timestamp,Razor_acc_x,Razor_acc_y,Razor_acc_z
0:00:00.593934,-0.023,0.003,1.009
0:00:00.598458,-0.022,0.003,1.016
0:00:00.608365,-0.023,0.001,1.017
0:00:00.608462,-0.023,0.002,1.014
0:00:00.620613,-0.022,0.0,1.016
0:00:00.620939,-0.021,0.001,1.014
0:00:00.641890,-0.023,0.001,1.014
0:00:00.641989,-0.023,0.001,1.014
0:00:00.653421,-0.022,0.001,1.013
0:00:00.653506,-0.022,0.003,1.016
0:00:00.662656,-0.021,0.002,1.014
0:00:00.671682,-0.025,0.0,1.013
0:00:00.680745,-0.025,0.001,1.017
0:00:00.689902,-0.022,0.002,1.017
0:00:00.694604,-0.022,0.003,1.017
0:00:00.703246,-0.023,-0.001,1.015
0:00:00.710830,-0.022,0.001,1.01
0:00:00.715584,-0.022,0.003,1.013
0:00:00.720539,-0.023,0.002,1.015
0:00:00.731515,-0.024,0.001,1.013
0:00:00.738669,-0.023,0.001,1.013
0:00:00.743457,-0.023,0.002,1.015
0:00:00.750454,-0.024,0.004,1.015
0:00:00.762322,-0.024,0.002,1.013
0:00:00.767246,-0.025,0.001,1.015
0:00:00.772661,-0.024,0.002,1.013
0:00:00.777460,-0.023,-0.001,1.013
0:00:00.782456,-0.022,0.003,1.014
0:00:00.788830,-0.024,0.002,1.014
0:00:00.792981,-0.026,0.003,1.015
0:00:00.800430,-0.024,0.003,1.015
0:00:00.806469,-0.023,0.002,1.015
0:00:00.810224,-0.022,0.002,1.015
0:00:00.815542,-0.023,0.0,1.015
0:00:00.822646,-0.022,0.001,1.014
0:00:00.827467,-0.023,0.001,1.013
0:00:00.831774,-0.023,0.001,1.014
0:00:00.837338,-0.025,0.003,1.014
0:00:00.842897,-0.023,-0.0,1.018
0:00:00.851403,-0.025,0.0,1.016
0:00:00.857491,-0.026,0.002,1.015
0:00:00.862585,-0.023,0.003,1.013
0:00:00.867318,-0.021,0.003,1.015
0:00:00.874199,-0.021,0.003,1.013
0:00:00.883601,-0.023,0.001,1.013
0:00:00.883677,-0.024,0.003,1.015
0:00:00.888965,-0.024,-0.0,1.014
0:00:00.905575,-0.023,0.001,1.014
0:00:00.918694,-0.023,0.001,1.012
0:00:00.928402,-0.026,0.002,1.013
0:00:00.935041,-0.022,0.001,1.012
0:00:00.940123,-0.023,0.0,1.011
0:00:00.948596,-0.023,0.003,1.016
0:00:00.955677,-0.023,0.002,1.016
0:00:00.960496,-0.025,0.003,1.017
0:00:00.965537,-0.023,0.001,1.014
0:00:00.976566,-0.02,0.002,1.013
0:00:00.983924,-0.022,0.001,1.015
0:00:00.988801,-0.021,0.0,1.014
0:00:00.993977,-0.023,0.003,1.013
0:00:01.002753,-0.021,-0.0,1.015
0:00:01.007439,-0.022,0.002,1.016
0:00:01.018718,-0.023,0.001,1.014
0:00:01.025666,-0.023,0.002,1.013
0:00:01.030408,-0.023,0.001,1.014
0:00:01.035458,-0.024,0.001,1.015
0:00:01.044109,-0.023,0.002,1.014
0:00:01.052168,-0.024,0.003,1.016
0:00:01.056854,-0.025,0.002,1.014
0:00:01.061895,-0.022,0.002,1.015
0:00:01.068195,-0.022,0.001,1.013
0:00:01.074403,-0.023,0.001,1.015
0:00:01.079554,-0.024,-0.0,1.015
0:00:01.084226,-0.024,0.001,1.015
0:00:01.089948,-0.024,0.0,1.016
0:00:01.097316,-0.023,0.004,1.013
0:00:01.103758,-0.023,0.003,1.015
