timestamp,IMU_acc_x,IMU_acc_y,IMU_acc_z
0:00:01.966384,-15,57,1016
0:00:01.983734,-15,58,1015
0:00:01.984203,-11,67,1007
0:00:01.990773,-5,47,1016
0:00:01.998498,-18,56,1016
0:00:02.004156,-9,63,1007
0:00:02.009611,-11,55,1005
0:00:02.015526,-15,60,1009
0:00:02.044865,-7,55,1012
0:00:02.044983,-19,57,1004
0:00:02.045035,-21,46,1010
0:00:02.047510,-13,60,1021
0:00:02.067489,-15,62,1001
0:00:02.067789,-13,62,1010
0:00:02.067842,-17,54,1002
0:00:02.071649,-17,55,1011
0:00:02.078432,-22,57,1001
0:00:02.086303,-15,63,1007
0:00:02.092442,-11,58,1015
0:00:02.103412,-14,50,1019
0:00:02.109267,-15,58,1011
0:00:02.115478,-9,58,1013
0:00:02.120453,-20,60,1019
0:00:02.127547,-9,57,1011
0:00:02.134433,-9,64,1011
0:00:02.142430,-15,66,1001
0:00:02.151547,-12,59,1009
0:00:02.157482,-17,55,1009
0:00:02.162582,-14,61,1008
0:00:02.169502,-8,62,1002
0:00:02.178292,-20,59,1008
0:00:02.183598,-5,59,1016
0:00:02.190378,-7,49,995
0:00:02.198254,-18,53,1014
0:00:02.205093,-14,60,1004
0:00:02.220452,-14,58,1008
0:00:02.220545,-20,58,1010
0:00:02.226179,-25,50,1023
0:00:02.234937,-10,57,1000
0:00:02.240243,-12,58,1018
0:00:02.248562,-12,57,1012
0:00:02.253715,-18,54,1004
0:00:02.261332,-15,60,1003
0:00:02.272160,-20,61,1011
0:00:02.274731,-22,59,1005
0:00:02.281513,-5,66,1010
0:00:02.289508,-23,55,1009
0:00:02.295590,-10,57,1017
0:00:02.304186,-21,63,1000
0:00:02.309633,-21,66,1015
0:00:02.319680,-9,60,1011
0:00:02.330423,-18,61,1003
0:00:02.331307,-16,62,1017
0:00:02.339547,-23,56,1008
0:00:02.346396,-17,59,1014
0:00:02.353617,-20,58,1012
0:00:02.367407,-13,57,1008
0:00:02.367635,-12,56,1010
0:00:02.372494,-12,56,1007
0:00:02.379613,-19,57,1003
0:00:02.387409,-11,56,1010
0:00:02.393533,-13,66,1004
0:00:02.401417,-9,53,1018
0:00:02.407643,-11,55,1012
0:00:02.416623,-14,64,1013
0:00:02.430206,-8,57,1010
0:00:02.430438,-3,64,1011
0:00:02.437441,-9,61,1009
