timestamp,Razor_vel_x,Razor_vel_y,Razor_vel_z
0:00:00.864165,0.137,-0.175,-0.763
0:00:00.871247,0.031,-0.237,-0.839
0:00:00.878473,0.168,-0.175,-0.862
0:00:00.884233,0.229,-0.168,-0.938
0:00:00.889207,0.16,-0.153,-0.877
0:00:00.894381,0.076,-0.153,-0.786
0:00:00.900130,0.145,-0.13,-0.778
0:00:00.905113,0.107,-0.084,-0.862
0:00:00.913341,0.16,-0.107,-0.854
0:00:00.920431,0.191,-0.076,-0.801
0:00:00.927191,0.084,-0.122,-0.923
0:00:00.933554,0.099,-0.145,-0.87
0:00:00.937066,0.237,-0.092,-0.877
0:00:00.942436,0.16,-0.053,-0.809
0:00:00.948848,0.122,-0.023,-0.786
0:00:00.953822,0.175,-0.084,-0.885
0:00:00.961654,0.008,-0.069,-0.885
0:00:00.967191,0.092,-0.099,-0.893
0:00:00.983189,0.183,-0.175,-0.885
0:00:00.983372,0.153,-0.168,-0.862
