timestamp,IMU_vel_x,IMU_vel_y,IMU_vel_z
0:00:01.196827,2,-9,1
0:00:01.213094,2,-12,0
0:00:01.232776,3,-11,1
0:00:01.232847,3,-9,0
0:00:01.233106,2,-9,3
0:00:01.239863,2,-12,0
0:00:01.248150,4,-10,2
0:00:01.254124,3,-11,3
0:00:01.254318,2,-12,1
0:00:01.259760,0,-9,1
0:00:01.268825,0,-12,3
0:00:01.275140,3,-10,1
0:00:01.280667,1,-8,0
0:00:01.289705,1,-8,3
0:00:01.295679,2,-12,1
0:00:01.301740,1,-9,1
0:00:01.309802,1,-11,2
0:00:01.315892,1,-8,1
0:00:01.328574,3,-9,2
0:00:01.334051,2,-11,2
0:00:01.338881,0,-9,0
0:00:01.345135,2,-8,0
0:00:01.352276,1,-10,-1
0:00:01.358180,3,-11,0
0:00:01.366407,0,-11,1
0:00:01.372885,1,-10,1
0:00:01.396922,1,-9,0
0:00:01.396989,4,-11,0
0:00:01.397043,2,-10,2
0:00:01.412781,4,-12,2
0:00:01.417456,2,-10,2
0:00:01.417516,2,-10,0
0:00:01.472738,1,-12,0
0:00:01.472807,3,-10,3
0:00:01.472856,4,-8,1
0:00:01.473315,1,-11,2
0:00:01.473364,1,-11,1
0:00:01.473407,1,-12,0
0:00:01.473449,2,-10,1
0:00:01.473491,2,-11,1
0:00:01.505046,0,-10,1
0:00:01.505133,1,-9,1
0:00:01.505956,2,-11,1
0:00:01.506015,1,-13,1
0:00:01.506059,2,-10,1
0:00:01.519126,0,-11,0
0:00:01.519648,3,-7,0
0:00:01.536459,1,-10,3
0:00:01.536537,3,-11,1
0:00:01.566833,4,-10,1
0:00:01.566921,1,-10,2
0:00:01.566969,1,-12,0
0:00:01.567015,4,-10,1
0:00:01.577520,2,-9,3
0:00:01.577609,0,-11,3
0:00:01.596873,0,-11,1
0:00:01.596953,0,-9,1
0:00:01.597751,2,-11,1
0:00:01.629689,2,-11,1
0:00:01.629771,3,-10,1
0:00:01.629818,0,-11,0
0:00:01.629861,4,-9,1
0:00:01.630741,1,-10,1
0:00:01.654206,3,-11,0
0:00:01.654457,1,-8,1
0:00:01.654508,2,-9,0
0:00:01.659101,2,-10,2
0:00:01.679116,2,-11,0
0:00:01.683612,2,-12,1
0:00:01.685212,0,-15,0
0:00:01.689888,4,-19,0
0:00:01.701298,3,-13,0
0:00:01.701366,0,-4,0
0:00:01.716410,-1,-1,0
0:00:01.717030,0,-7,2
0:00:01.722161,5,-18,1
0:00:01.730292,5,-17,2
0:00:01.737866,1,-8,2
0:00:01.746882,1,-7,0
0:00:01.756105,2,-6,2
0:00:01.764808,2,-8,1
0:00:01.766036,2,-11,0
0:00:01.779301,1,-13,0
0:00:01.779604,4,-13,0
0:00:01.787451,2,-11,1
0:00:01.798920,1,-4,2
0:00:01.799101,1,-6,0
0:00:01.808398,3,-11,1
0:00:01.816547,4,-16,1
0:00:01.863128,2,-12,3
0:00:01.864096,3,-12,1
0:00:01.864163,0,-7,0
0:00:01.864211,0,-8,1
0:00:01.864297,2,-10,2
0:00:01.864456,3,-14,1
0:00:01.864912,-1,-12,1
0:00:01.869013,1,-10,0
0:00:01.882502,1,-10,3
0:00:01.883111,3,-9,2
0:00:01.895038,1,-12,1
0:00:01.899574,2,-10,2
0:00:01.906968,3,-9,0
0:00:01.919833,0,-8,2
0:00:01.920228,-1,-11,1
0:00:01.925318,3,-12,0
0:00:01.939824,1,-11,0
0:00:01.969054,3,-12,1
0:00:01.976202,2,-11,1
0:00:01.977237,2,-7,1
0:00:01.977303,1,-7,1
0:00:01.977349,1,-11,2
0:00:01.978921,2,-11,1
0:00:01.987242,3,-11,1
0:00:01.987993,1,-7,2
0:00:02.008808,2,-8,0
0:00:02.009087,0,-11,1
0:00:02.016070,3,-11,1
